AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
A0776196,,CAT,PT-LYNX,,DOMESTIC SH,SPAYED,,,2024-07-12,MED SEV,STRAY,OTC,,2024-07-12,EUTH,,MED SEV,E SAN FERNANDO ST/S 34TH ST,SAN JOSE,2024-07-12
A0794403,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,,,2025-01-21,MED R,STRAY,OTC,,2025-01-21,EUTH,,MED SEV,MANTON DR X VENADO WAY,SAN JOSE,2025-01-21
A0797930,,CAT,TABBY-ORG,,DOMESTIC MH,NEUTERED,,,2024-11-13,MED SEV,STRAY,OTC,,2024-11-13,EUTH,,MED SEV,DIXON RD/VEGAS AVE,MILPITAS,2024-11-13
A0799824,,CAT,GRAY,WHITE,DOMESTIC SH,NEUTERED,,,2024-10-28,MED SEV,STRAY,FIELD,,2024-10-29,EUTH,,MED SEV,S 31ST X SAN ANTONIO,SAN JOSE,2024-10-30
A0808004,,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,,,2024-12-31,MED SEV,STRAY,FIELD,,2025-01-06,EUTH,,MED SEV,RIDGETREE WAY X OAK FLAT RD,SAN JOSE,2025-01-06
A0810546,,CAT,BLACK,BLACK,DOMESTIC SH,NEUTERED,,,2024-11-08,MED SEV,STRAY,OTC,,2024-11-08,DIED,,MED SEV,VALLEY HEIGHTS DR/MABURY RD,SAN JOSE,2024-11-08
A0820268,,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,SPAYED,2016-01-09,8,2024-12-28,MED R,STRAY,OTC,,2025-01-12,RTF,,HEALTHY,YERBA BUENA RD / PASEO DE ARBOLES,SAN JOSE,2025-01-12
A0820993,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,,,2024-09-11,AGGRESSIVE,STRAY,OTC,,2024-09-11,EUTH,,MED SEV,CHOPIN AVE X PUCCINI AVE,SAN JOSE,2024-09-11
A0821113,,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2012-10-03,12,2024-10-03,MED SEV,STRAY,MEDVET,,2024-10-15,EUTH,,MED SEV,3600 BLOCK OF ROLLINGSIDE DR.,SAN JOSE,2024-10-15
A0823438,,CAT,BLACK,,DOMESTIC SH,NEUTERED,,,2024-12-29,MED SEV,STRAY,OTC,,2024-12-29,EUTH,,MED SEV,TULLY X SENTER RD,SAN JOSE,2024-12-31
A0829460,LITTLE MAN (FAT MAN),DOG,TAN,,CHIHUAHUA SH,NEUTERED,2012-05-17,12,2024-07-16,HEALTHY,STRAY,MEDVET,,2024-07-20,RTO,,HEALTHY,SANTA TERESA X SAN IGNACIO,SAN JOSE,2024-07-20
A0830781,MOOMOO,CAT,WHITE,GRAY,DOMESTIC SH,SPAYED,2013-03-29,11,2024-08-21,MED R,STRAY,OTC,,2024-09-18,ADOPTION,,HEALTHY,LEWISTON DR  X MIDVALE LN,SAN JOSE,2024-09-18
A0832347,LUCY,DOG,TRICOLOR,,MIN PINSCHER,SPAYED,2013-01-25,11,2024-12-07,HEALTHY,STRAY,OTC,,2024-12-11,RTO,,HEALTHY,MASTIC ST/FLOYD ST,SAN JOSE,2024-12-11
A0832901,TIPPED NOTNR,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,,,2025-01-06,MED SEV,STRAY,OTC,,2025-01-06,EUTH,,MED SEV,SAWGRASS DR/MERION DR,SAN JOSE,2025-01-08
A0842371,,CAT,TABBY-ORG,,DOMESTIC SH,SPAYED,2011-07-19,13,2024-07-19,MED SEV,STRAY,,,2024-07-25,EUTH,,MED SEV,12TH STREET AND SANTA CLARA ST.,SAN JOSE,2025-08-28
A0870272,LILY,DOG,WHITE,BROWN,PIT BULL,SPAYED,2013-04-09,11,2024-07-11,HEALTHY,CONFISCATE,POLICE,,2024-07-18,RTO,,HEALTHY,,SAN JOSE,2024-07-18
A0871219,,CAT,TORBI-BRN,,DOMESTIC SH,SPAYED,,,2024-07-26,MED EMERG,STRAY,FIELD,,2024-07-26,EUTH,,MED EMERG,MAYSONG CT X AUTUMNSONG,SAN JOSE,2024-07-26
A0881604,ANGEL,DOG,BLACK,,POODLE MIN,SPAYED,2010-08-03,14,2024-08-03,HEALTHY,STRAY,OTC,,2024-08-03,RTO,,HEALTHY,600 BLOCK NORTH/E CAPITOL EXPY,SAN JOSE,2024-08-06
A0883110,LUCKY,DOG,WHITE,,POODLE STND,MALE,2013-05-05,11,2025-01-05,HEALTHY,STRAY,OTC,,2025-01-06,RTO,,HEALTHY,NIEMAN/PLUMSTEAD,SAN JOSE,2025-01-06
A0888756,COTTON,DOG,WHITE,TAN,MALTESE,NEUTERED,2008-03-25,16,2024-07-21,MED R,STRAY,OTC,,2024-07-22,RTO,,MED R,YASOU DEMAS WAY X AUTOTECH WY,SAN JOSE,2024-07-22
A0890284,,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,,,2024-08-21,MED SEV,STRAY,OTC,,2024-08-23,DIED,,MED SEV,UMBARGER RD X AIELLO DR,SAN JOSE,2024-08-23
A0891467,ANUBIS,DOG,WHITE,BRINDLE-BN,BULL TERRIER,NEUTERED,2011-03-27,13,2024-10-07,MED R,STRAY,FIELD,,2024-10-09,RTO,,MED R,WILLOW / ALMADEN,SAN JOSE,2024-10-09
A0891467,ANUBIS,DOG,WHITE,BRINDLE-BN,BULL TERRIER,NEUTERED,2011-03-27,13,2024-10-10,HEALTHY,STRAY,FIELD,,2024-10-10,RTO,,HEALTHY,ALMA X POMONA,SAN JOSE,2024-10-10
A0894526,,CAT,TABBY-ORG,WHITE,DOMESTIC SH,NEUTERED,,,2024-07-13,MED R,STRAY,MEDVET,,2024-07-13,EUTH,,MED EMERG,3300 BLK OF MIRA VISTA CIR.,SAN JOSE,2024-07-13
A0895948,TURBO,DOG,TAN,,CHIHUAHUA SH,NEUTERED,2013-08-29,11,2025-01-19,HEALTHY,STRAY,OTC,,2025-01-21,RTO,,HEALTHY,SUMATRA AVE/CUNNINGHAM AVE,SAN JOSE,2025-01-21
A0895960,MATTY,DOG,CHOCOLATE,CREAM,CHIHUAHUA SH,NEUTERED,2014-03-14,10,2025-01-04,MED R,STRAY,OTC,,2025-01-22,RESCUE,,MED R,MT VISTA DR,SAN JOSE,2025-01-22
A0896561,ESSIE,DOG,UNKNOWN,,SIBERIAN HUSKY,SPAYED,2012-03-24,12,2024-12-23,MED M,STRAY,OTC,,2024-12-26,RTO,,MED M,HARMIL X BYERLEY,SAN JOSE,2024-12-26
A0897696,BRAVEHEART,CAT,GRAY,,DOMESTIC SH,NEUTERED,2014-03-28,10,2024-09-16,HEALTHY,OWNER SUR,OTC,,2024-09-23,ADOPTION,,HEALTHY,,SAN JOSE,2025-10-09
A0902350,LOLA,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2014-05-11,10,2024-08-23,MED R,STRAY,OTC,,2024-09-15,RESCUE,,MED R,SIENNA DR,SAN JOSE,2024-09-15
A0908015,BIGGIE,CAT,BLACK,,DOMESTIC SH,SPAYED,2014-03-18,10,2024-11-15,HEALTHY,STRAY,OTC,,2024-11-21,RTF,,FERAL,N 5TH ST/COMMERCIAL ST,SAN JOSE,2024-11-21
A0926370,SPORT,DOG,TAN,,CHIHUAHUA SH,NEUTERED,2013-11-16,10,2024-10-15,MED R,OWNER SUR,FIELD,,2024-10-23,RESCUE,,MED R,,MILPITAS,2024-10-24
A0928622,,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,,,2025-01-02,MED SEV,STRAY,OTC,,2025-01-02,EUTH,,MED SEV,S 6TH ST/ E HUMBOLDT ST,SAN JOSE,2025-01-03
A0935559,LULU,DOG,BLACK,WHITE,BOSTON TERRIER,SPAYED,,,2024-07-24,HEALTHY,STRAY,OTC,,2024-07-25,RTO,,HEALTHY,QUITO RD X DEVON AVE,SARATOGA,2024-07-25
A0941853,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,,2024-07-08,MED SEV,STRAY,OTC,,2024-07-09,EUTH,,MED SEV,MONTEREY RD/TULLY RD,SAN JOSE,2024-07-09
A0942015,MAX,DOG,RED,,MIN PINSCHER,NEUTERED,2014-09-22,9,2024-08-15,HEALTHY,STRAY,OTC,IP ADOPT,2024-08-15,RTO,,HEALTHY,MINER PARK,SAN JOSE,2024-08-15
A0949643,OSO,DOG,TAN,,POMERANIAN,MALE,2009-06-12,15,2024-12-14,MED M,STRAY,OTC,,2024-12-15,RTO,,MED M,KENOGA DR/TULLY RD,SAN JOSE,2024-12-15
A0955861,GIBBS,CAT,BLACK,,DOMESTIC SH,NEUTERED,2015-05-28,9,2024-12-04,MED SEV,STRAY,FIELD,,2024-12-04,EUTH,,MED SEV,MADDEN AVE / N CAPITOL AVE,SAN JOSE,2024-12-09
A0962939,SPARKY,DOG,WHITE,,SHIH TZU,NEUTERED,2012-08-16,12,2024-09-16,HEALTHY,STRAY,OTC,,2024-09-16,RTO,,HEALTHY,MONTEREY RD/UMBARGER,SAN JOSE,2024-09-16
A0976867,HAPPY,DOG,RED,WHITE,CHIHUAHUA SH,MALE,2012-01-07,12,2024-09-02,MED M,STRAY,MEDVET,,2024-09-06,RTO,,,NEW JERSEY AVE,SAN JOSE,2024-09-06
A0979877,PEPE,DOG,TAN,,POODLE MIN,MALE,,,2024-10-12,MED R,STRAY,OTC,,2024-10-13,RTO,,HEALTHY,EBERLY DR / LYRIC LN,SAN JOSE,2024-10-13
A0979960,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,,,2024-11-26,MED SEV,STRAY,OTC,,2024-11-26,EUTH,,MED SEV,OLD RIDGE CT/BATTAGLIA CIR,SAN JOSE,2024-12-03
A0984209,COCO,CAT,TORTIE-B\O,,DOMESTIC MH,SPAYED,2013-03-14,11,2024-11-14,MED SEV,EUTH REQ,OTC OWNED,,2024-11-27,RTO,,MED M,,SAN JOSE,2024-12-10
A0984209,COCO,CAT,TORTIE-B\O,,DOMESTIC MH,SPAYED,2013-03-14,11,2024-11-14,MED SEV,EUTH REQ,OTC OWNED,,2024-11-27,RTO,,HEALTHY,,SAN JOSE,2024-11-27
A0986928,,CAT,BLACK,,DOMESTIC MH,SPAYED,2016-09-17,8,2024-09-17,MED SEV,STRAY,OTC,,2024-09-26,DIED,,MED SEV,SEVEN TREE BLVD/SAN MATEO DR,SAN JOSE,2024-09-30
A0987374,,CAT,GRAY,,DOMESTIC SH,NEUTERED,2012-12-09,12,2024-12-06,MED SEV,CONFISCATE,POLICE,,2024-12-23,EUTH,,MED SEV,,SAN JOSE,2024-12-23
A0994016,DEMON,DOG,BLACK,BROWN,YORKSHIRE TERR,NEUTERED,2011-04-11,13,2024-12-01,HEALTHY,TRANSFER,SVACA,,2024-12-01,RTO,,HEALTHY,TOWER HILL AVE/REGENCY AVE,SAN JOSE,2024-12-01
A0994016,DEMON,DOG,BLACK,BROWN,YORKSHIRE TERR,NEUTERED,2011-04-11,13,2024-12-25,MED R,STRAY,FIELD,,2024-12-28,RTO,,MED R,MONTEGUE EXPRESSWAY,MILPITAS,2024-12-28
A0994395,,CAT,BLACK,,DOMESTIC SH,NEUTERED,,,2024-12-26,MED SEV,STRAY,OTC,,2024-12-26,EUTH,,MED SEV,S 8TH ST/SANTA CLARA ST,SAN JOSE,2024-12-26
A0996158,RAYNA,CAT,WHITE,TABBY-ORG,DOMESTIC SH,SPAYED,2016-05-02,8,2024-11-27,MED R,OWNER SUR,,,2024-12-08,ADOPTION,,MED R,,SANTA CLARA,2024-12-08
A0998105,BUBBA,DOG,BLACK,WHITE,LABRADOR RETR,NEUTERED,2015-06-29,9,2024-11-25,BEH U,CONFISCATE,ASO,,2024-12-12,EUTH,,BEH U,,SAN JOSE,2024-12-12
A1002463,,CAT,CALICO-TRI,,DOMESTIC SH,SPAYED,,,2024-10-10,MED EMERG,STRAY,MEDVET,,2024-10-10,EUTH,,MED EMERG,STORY RD AND ROBERTS AVE,SAN JOSE,2025-10-17
A1003788,SAMANTHA,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2015-08-13,8,2024-07-01,HEALTHY,OWNER SUR,OTC,ALLERGIC,2024-07-05,ADOPTION,,,,SAN JOSE,2024-07-05
A1008582,,CAT,TORTIE-DIL,,DOMESTIC SH,SPAYED,,,2024-11-29,MED EMERG,STRAY,OTC,,2024-11-29,EUTH,,MED EMERG,N 5TH ST/E EMPIRE ST,SAN JOSE,2024-11-29
A1009667,PEGGY,DOG,WHITE,,MALTESE,SPAYED,2016-03-27,8,2024-08-19,HEALTHY,STRAY,OTC,,2024-08-19,RTO,,HEALTHY,,SAN JOSE,2024-08-19
A1012989,,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,,,2024-11-18,MED SEV,STRAY,OTC,,2024-11-18,EUTH,,MED SEV,UMBARGER RD/AIELLO DR,SAN JOSE,2024-11-18
A1013073,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,,2024-10-09,MED R,STRAY,OTC,,2024-10-09,RTO,,MED R,CHOPIN AVE X OTHELLO AVE,SAN JOSE,2024-10-09
A1014983,WINNIE,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,SPAYED,,,2024-10-09,MED R,STRAY,MEDVET,,2024-10-12,RTO,,MED R,2000 BLOCK OF EMORY ST,SAN JOSE,2024-10-12
A1022167,LULU,DOG,RED,,TIBETAN SPAN,NEUTERED,2013-01-15,11,2024-12-31,MED R,STRAY,MEDVET,,2025-01-02,RTO,,MED R,2000 BLK PORTAL,SAN JOSE,2025-01-02
A1025208,SWEET HEART,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,2012-05-14,12,2024-10-31,MED R,STRAY,OTC,IP ADOPT,2024-11-07,RTF,,FERAL,LA RODA DR,CUPERTINO,2024-11-07
A1025310,BETTY,CAT,GRAY,,DOMESTIC SH,SPAYED,2016-02-16,8,2024-08-23,HEALTHY,OWNER SUR,OTC,AGG PEOPLE,2024-09-27,ADOPTION,,,,SAN JOSE,2024-09-27
A1025476,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,,2024-08-08,MED SEV,STRAY,OTC,,2024-08-15,RTF,,FERAL,CAPE MARY PL X PORT WAY,SAN JOSE,2024-08-15
A1027471,GUNNER,DOG,BLACK,WHITE,PATTERDALE TERR,NEUTERED,2013-09-07,10,2024-07-06,MED R,STRAY,OTC,,2024-07-09,RTO,,,CAPITOL/QUIMBY,SAN JOSE,2024-07-09
A1028383,,CAT,TABBY-BRN,BROWN,DOMESTIC SH,NEUTERED,2016-07-16,8,2024-12-14,MED R,STRAY,OTC,,2024-12-17,DIED,,MED SEV,LEWIS RD/SUNWOOD DR,SAN JOSE,2024-12-18
A1032955,DOROTHY,DOG,BLACK,WHITE,CHIHUAHUA SH,SPAYED,2015-05-03,9,2024-12-03,HEALTHY,CONFISCATE,HOSPITAL,,2024-12-03,RTO,,HEALTHY,,SAN JOSE,2024-12-03
A1032955,DOROTHY,DOG,BLACK,WHITE,CHIHUAHUA SH,SPAYED,2015-05-03,9,2024-11-26,HEALTHY,CONFISCATE,HOSPITAL,,2024-11-27,RTO,,HEALTHY,,SAN JOSE,2024-11-27
A1032955,DOROTHY,DOG,BLACK,WHITE,CHIHUAHUA SH,SPAYED,2015-05-03,9,2025-01-02,HEALTHY,CONFISCATE,HOSPITAL,,2025-01-05,RTO,,HEALTHY,,SAN JOSE,2025-01-05
A1034900,,CAT,BLACK,,DOMESTIC SH,NEUTERED,,,2024-08-20,MED SEV,STRAY,OTC,,2024-08-23,DIED,,MED SEV,HAGA DR,SAN JOSE,2024-08-23
A1036738,ANGIE,DOG,BLACK,WHITE,AMERICAN STAFF,SPAYED,2016-05-16,8,2024-09-20,HEALTHY,STRAY,OTC,,2025-07-16,ADOPTION,,,TULLY RD / KING RD,SAN JOSE,2025-07-16
A1041400,,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2017-09-18,6,2024-08-08,MED R,STRAY,OTC,,2024-08-17,RTF,,MED R,TROVATA CT,SAN JOSE,2024-08-17
A1043332,LOGAN,DOG,BLACK,WHITE,SHIH TZU,NEUTERED,2018-05-20,6,2024-08-27,HEALTHY,STRAY,OTC,,2024-09-07,ADOPTION,,,EASTRIDGE LOOP,SAN JOSE,2024-09-07
A1046823,,CAT,GRAY,WHITE,DOMESTIC SH,SPAYED,2016-09-18,7,2024-08-22,MED R,STRAY,OTC,,2024-08-30,RTF,,MED R,HERVEY LN,SAN JOSE,2024-08-30
A1049251,,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,,,2024-08-26,MED SEV,STRAY,OTC,,2024-08-26,EUTH,,MED SEV,DORRIE AVE X MELBOURNE BLVD,SAN JOSE,2024-08-26
A1050698,,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,,,2024-11-07,MED SEV,STRAY,OTC,,2024-11-07,EUTH,,MED SEV,200 BLOCK MARTI WAY / BLUE FIELD DR,SAN JOSE,2024-11-07
A1055658,,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,,,2024-07-08,MED SEV,STRAY,OTC,,2024-07-08,RTF,,MED R,GLENGROVE WAY X GLENGARRY DR,SAN JOSE,2024-07-08
A1061363,,CAT,GRAY,,DOMESTIC SH,NEUTERED,,,2024-08-31,MED R,STRAY,OTC,,2024-09-22,RTF,,HEALTHY,PETTIGREW X NIEMEN BLVD,SAN JOSE,2024-09-22
A1061471,SADIE,DOG,WHITE,BROWN,PARSON RUSS TER,FEMALE,2016-12-03,7,2024-10-15,MED R,OWNER SUR,FIELD,,2024-10-22,RESCUE,,MED R,,MILPITAS,2024-10-24
A1061473,ABE,DOG,BLACK,,LABRADOR RETR,MALE,2016-12-03,7,2024-10-09,MED R,OWNER SUR,FIELD,,2024-11-25,RESCUE,,MED R,,MILPITAS,2024-11-25
A1062344,GRIFFEY,DOG,BLACK,WHITE,BOSTON TERRIER,MALE,2014-06-29,10,2024-07-24,HEALTHY,STRAY,OTC,,2024-07-25,RTO,,HEALTHY,QUITO RD X DEVON AVE,SARATOGA,2024-07-25
A1068193,LANI,DOG,WHITE,BROWN,PIT BULL,SPAYED,2016-11-11,7,2024-07-15,MED R,STRAY,OTC,,2024-07-15,RTO,,MED R,PUCCINI AVE/RIGELETTO DR,SAN JOSE,2024-07-21
A1068618,MIKLO,DOG,BROWN,,SIBERIAN HUSKY,NEUTERED,2016-03-15,8,2025-01-22,MED R,STRAY,OTC,,2025-01-23,RTO,,HEALTHY,OCALA AVE/E CAPITOL EXPY,SAN JOSE,2025-01-23
A1069371,TUCKER,DOG,TAN,WHITE,FOX TERR WIRE,NEUTERED,2017-09-07,6,2024-07-23,HEALTHY,STRAY,OTC,,2024-08-10,ADOPTION,,HEALTHY,WESTGATE/HUSTED AVE,SAN JOSE,2024-08-10
A1079425,ZEUS,DOG,BLACK,WHITE,SIBERIAN HUSKY,MALE,2016-10-21,8,2025-01-20,MED SEV,STRAY,MEDVET,,2025-01-21,RTO,,MED SEV,FOXDALE CT,SAN JOSE,2025-01-21
A1079425,ZEUS,DOG,BLACK,WHITE,SIBERIAN HUSKY,MALE,2016-10-21,8,2025-01-21,MED SEV,OWNER SUR,FIELD,,2025-01-24,EUTH,,MED SEV,,SAN JOSE,2025-01-24
A1080122,ROZALEENA,DOG,TAN,WHITE,CHIHUAHUA SH,SPAYED,2018-10-17,6,2024-10-15,HEALTHY,STRAY,MEDVET,,2024-10-15,RTO,,HEALTHY,ZANKER AND TRIMBLE,SAN JOSE,2024-10-15
A1080721,ROXANN,CAT,BLACK,WHITE,DOMESTIC MH,SPAYED,2018-04-10,6,2024-12-21,HEALTHY,OWNER SUR,OTC,OWNER DIED,2024-12-29,ADOPTION,,HEALTHY,,SAN JOSE,2024-12-29
A1080725,JULIET,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,2018-04-10,6,2024-12-19,MED SEV,OWNER SUR,OTC,OWNER DIED,2025-01-08,ADOPTION,,,,SAN JOSE,2025-01-08
A1081460,TOBBY,DOG,BLACK,,LABRADOR RETR,NEUTERED,2016-08-09,8,2024-11-22,HEALTHY,STRAY,OTC,,2025-01-02,RESCUE,,HEALTHY,MCLAUGHLIN AVE/STORY RD,SAN JOSE,2025-01-02
A1081750,ZOOEY,DOG,GRAY,WHITE,SIBERIAN HUSKY,SPAYED,2013-04-04,11,2024-08-23,HEALTHY,CONFISCATE,ASO,,2024-09-04,RTO,,HEALTHY,,MILPITAS,2024-09-04
A1085227,,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,,,2024-10-20,MED SEV,STRAY,OTC,,2024-10-20,EUTH,,MED SEV,KAMMERER AVE/S KING RD,SAN JOSE,2024-10-28
A1085728,COCO,DOG,BROWN,,CHIHUAHUA SH,SPAYED,2017-02-12,7,2025-01-21,HEALTHY,STRAY,OTC,,2025-01-21,RTO,,HEALTHY,SENTER RD / PHELAN,SAN JOSE,2025-01-21
A1089356,GOLD,DOG,TAN,WHITE,STAFFORDSHIRE,NEUTERED,2016-06-25,8,2024-12-15,HEALTHY,STRAY,FIELD,,2024-12-17,RTO,,HEALTHY,FORESTDALE AVE / MELBOURNE BLVD,SAN JOSE,2024-12-17
A1089356,GOLD,DOG,TAN,WHITE,STAFFORDSHIRE,NEUTERED,2016-06-25,8,2024-09-30,HEALTHY,STRAY,FIELD,,2024-10-01,RTO,,HEALTHY,E WILLIAM ST & 19TH ST,SAN JOSE,2024-10-01
A1102881,,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,,,2024-08-17,MED SEV,STRAY,OTC,,2024-08-20,EUTH,,MED EMERG,BELLINGHAM DR/BECKET DR,SAN JOSE,2025-08-14
A1102935,WILLOW,DOG,GRAY,,PIT BULL,FEMALE,2015-09-29,8,2024-09-09,BEH U,CONFISCATE,BITE,,2024-09-19,RTO,,HEALTHY,,SAN JOSE,2024-09-19
A1103336,,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,,,2024-11-17,MED R,STRAY,OTC,,2024-11-21,RTF,,FERAL,GOLF DR / BEDIVERE DR,SAN JOSE,2024-11-21
A1104137,ALFIE,DOG,TAN,,POMERANIAN,FEMALE,2012-08-01,12,2025-01-06,MED R,STRAY,MEDVET,,2025-01-06,RTO,,MED R,ALEXANDER X MADDEN,SAN JOSE,2025-01-06
A1105262,POE,DOG,BLACK,WHITE,BORDER COLLIE,NEUTERED,2018-05-21,6,2024-07-18,HEALTHY,OWNER SUR,OTC,,2024-08-11,ADOPTION,,HEALTHY,,SAN JOSE,2024-08-11
A1105262,POE,DOG,BLACK,WHITE,BORDER COLLIE,NEUTERED,2018-05-21,6,2024-07-12,HEALTHY,STRAY,OTC,,2024-07-18,RTO,,,SILVER OAK ST X SAN FELIPE RD,SAN JOSE,2025-03-12
A1106961,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,2018-07-26,6,2024-07-26,MED R,STRAY,OTC,,2024-08-04,RTF,,MED R,BRODIE DR X SINGLETON RD,SAN JOSE,2024-08-04
A1107266,LEIA,DOG,WHITE,,ALASK MALAMUTE,SPAYED,2018-05-05,6,2024-11-07,MED SEV,EUTH REQ,OTC OWNED,,2024-11-08,RTO,,MED SEV,,SAN JOSE,2024-11-08
A1108336,CHUBBS,CAT,GRAY,,DOMESTIC SH,SPAYED,,,2024-07-31,PREGNANT,STRAY,FIELD,,2024-07-31,ADOPTION,,,,SAN JOSE,2024-07-31
